Registro,Nombre del Buque,Longitud del Buque (Eslora),Muelle Asignado,Retraso Estimado (Horas)
30012,LUCY,42.63,Fondeo no comercial,70.74
30009,GLORIA C,31.45,Fondeo no comercial,289.81
30010,TUNAMAR,76.75,Fondeo no comercial,198.42
30007,OCEAN LADY,37.34,Marginal,140.28
30004,TEMPLARIO I,65.26,Fondeo no comercial,127.1
30008,CHASCA,39.87,Fondeo no comercial,288.83
30006,SOUTHERN QUEEN,36.8,Marginal,1026.02
30005,EL CONDE,33.33,Marginal,1014.03
30002,CAP. DANNY B,34.98,Marginal,105.94
30003,DOÑA LUCIA,69.02,Fondeo no comercial,343.05
29999,ARIETE,46.0,Marginal,169.59
29998,ANDREA,33.95,Marginal,144.07
29996,DOÑA NANCY,35.94,Marginal,391.57
30001,DON F,63.24,Fondeo no comercial,136.88
30000,ISABELLA,62.4,Internacional,10.75
29994,VENTUARI,67.68,Fondeo no comercial,389.41
29995,MARIA DE GRACIA,36.58,Marginal,5.05
29992,TXOPITUNA DOS,67.44,Fondeo no comercial,72.59
29991,AMERICAN EAGLE,59.87,Fondeo no comercial,1037.29
29990,MARY LYNN,33.46,Marginal,114.87
29993,NATALY,69.6,Fondeo no comercial,1178.22
29988,CAP. BERNY B,65.1,Fondeo no comercial,126.64
29987,TXOPITUNA,67.38,Fondeo no comercial,720.43
29986,PACIFIC TUNA,68.83,Fondeo no comercial,183.6
29985,BARAKA,64.8,Fondeo no comercial,321.55
29979,EILEEN MARIE,51.6,Marginal,388.65
29984,MONTECRISTI,50.25,Marginal,1297.33
29983,CAYO NORONKY,62.26,Fondeo no comercial,2426.35
29960,TUNAPESCA,66.44,Fondeo no comercial,121.28
29959,ALINA,53.85,Fondeo no comercial,58.6
29958,AMERICAN EAGLE,59.87,Fondeo no comercial,41.37
29955,CAPE MAY,61.05,Fondeo no comercial,1625.79
29956,PESCATUN I,58.0,Fondeo no comercial,497.3
29944,DON IGILIO,62.96,Fondeo no comercial,1612.88
29954,RIA DE ALDAN,89.4,Fondeo no comercial,-0.19
29943,CHIARA,61.56,Fondeo no comercial,1651.02
29950,L JUBICA,89.28,Fondeo no comercial,30.02
29948,ALDO,47.85,Fondeo no comercial,231.38
29952,MARY LYNN,33.46,Marginal,64.81
29951,JO LINDA,45.5,Marginal,1809.51
29941,JOSELITO,32.56,Marginal,1755.95
29949,SOUTHERN QUEEN,36.8,Marginal,327.79
29945,OCEAN LADY,37.34,Marginal,137.03
29946,LIZANNY Z,55.68,Fondeo no comercial,33.63
29947,GLORIA C,31.45,Fondeo no comercial,283.7
29942,ANDREA,33.95,Marginal,96.11
29938,ARIETE,46.0,Fondeo no comercial,95.3
29953,ISABELLA,62.4,Fondeo no comercial,13.63
29937,SANSUN RANGER,65.14,Internacional,272.47
29936,ALMIRANTE I,66.0,Fondeo no comercial,171.26
29939,CAP. TINO B,34.98,Marginal,377.44
29933,DANIELA,59.77,Fondeo no comercial,1708.43
29935,EL CONDE,33.33,Marginal,400.49
29940,DON ANTONIO,38.91,Marginal,289.3
29934,LUCY,42.63,Marginal,146.68
29931,TARQUI,49.08,Marginal,148.9
